abs_word_idx,timestamp_s,packet_num,frame_length,passed_valid
183911,0.022988875,4,250,1
184161,0.023020125,5,250,1
184411,0.023051375,6,250,1
184661,0.023082625,7,250,1
184911,0.023113875,0,250,1
185161,0.023145125,1,248,1
185409,0.023176125,2,250,1
185659,0.023207375,3,250,1
185909,0.023238625,4,250,1
186159,0.023269875,5,250,1
186409,0.023301125,6,250,1
186659,0.023332375,7,250,1
186909,0.023363625,0,250,1
187159,0.023394875,1,250,1
187409,0.023426125,2,250,1
187659,0.023457375,3,250,1
187909,0.023488625,4,250,1
188159,0.023519875,5,250,1
188409,0.023551125,6,250,1
188659,0.023582375,7,250,1
188909,0.023613625,0,250,1
189159,0.023644875,1,250,1
189409,0.023676125,2,250,1
189659,0.023707375,3,250,1
189909,0.023738625,4,248,1
190157,0.023769625,5,250,1
190407,0.023800875,6,250,1
190657,0.023832125,7,250,1
190907,0.023863375,0,250,1
191157,0.023894625,1,250,1
191407,0.023925875,2,250,1
191657,0.023957125,3,250,1
191907,0.023988375,4,250,1
192157,0.024019625,5,250,1
192407,0.024050875,6,250,1
192657,0.024082125,7,250,1
192907,0.024113375,0,250,1
193157,0.024144625,1,250,1
193407,0.024175875,2,250,1
193657,0.024207125,3,250,1
193907,0.024238375,4,250,1
194157,0.024269625,5,250,1
194407,0.024300875,6,250,1
194657,0.024332125,7,248,1
194905,0.024363125,0,250,1
195155,0.024394375,1,250,1
195405,0.024425625,2,250,1
195655,0.024456875,3,250,1
195905,0.024488125,4,250,1
196155,0.024519375,5,250,1
196405,0.024550625,6,250,1
196655,0.024581875,7,250,1
196905,0.024613125,0,250,1
197155,0.024644375,1,250,1
197405,0.024675625,2,250,1
197655,0.024706875,3,250,1
197905,0.024738125,4,250,1
198155,0.024769375,5,250,1
198405,0.024800625,6,250,1
198655,0.024831875,7,250,1
198905,0.024863125,0,250,1
199155,0.024894375,1,250,1
199405,0.024925625,2,248,1
199653,0.024956625,3,250,1
199903,0.024987875,4,250,1
200153,0.025019125,5,250,1
200403,0.025050375,6,250,1
200653,0.025081625,7,250,1
200903,0.025112875,0,250,1
201153,0.025144125,1,250,1
201403,0.025175375,2,250,1
201653,0.025206625,3,250,1
201903,0.025237875,4,250,1
202153,0.025269125,5,250,1
202403,0.025300375,6,250,1
202653,0.025331625,7,250,1
202903,0.025362875,0,250,1
203153,0.025394125,1,250,1
203403,0.025425375,2,250,1
203653,0.025456625,3,250,1
203903,0.025487875,4,250,1
204153,0.025519125,5,250,1
204403,0.025550375,6,248,1
204651,0.025581375,7,250,1
204901,0.025612625,0,250,1
205151,0.025643875,1,250,1
205401,0.025675125,2,250,1
205651,0.025706375,3,250,1
205901,0.025737625,4,250,1
206151,0.025768875,5,250,1
206401,0.025800125,6,250,1
206651,0.025831375,7,250,1
206901,0.025862625,0,250,1
207151,0.025893875,1,250,1
207401,0.025925125,2,250,1
207651,0.025956375,3,250,1
207901,0.025987625,4,250,1
208151,0.026018875,5,250,1
208401,0.026050125,6,250,1
208651,0.026081375,7,250,1
208901,0.026112625,0,250,1
209151,0.026143875,1,248,1
209399,0.026174875,2,250,1
209649,0.026206125,3,250,1
209899,0.026237375,4,250,1
210149,0.026268625,5,250,1
210399,0.026299875,6,250,1
210649,0.026331125,7,250,1
210899,0.026362375,0,250,1
211149,0.026393625,1,250,1
211399,0.026424875,2,250,1
211649,0.026456125,3,250,1
211899,0.026487375,4,250,1
212149,0.026518625,5,250,1
212399,0.026549875,6,250,1
212649,0.026581125,7,250,1
212899,0.026612375,0,250,1
213149,0.026643625,1,250,1
213399,0.026674875,2,250,1
213649,0.026706125,3,250,1
213899,0.026737375,4,248,1
214147,0.026768375,5,250,1
214397,0.026799625,6,250,1
214647,0.026830875,7,250,1
214897,0.026862125,0,250,1
215147,0.026893375,1,250,1
215397,0.026924625,2,250,1
215647,0.026955875,3,250,1
215897,0.026987125,4,250,1
216147,0.027018375,5,250,1
216397,0.027049625,6,250,1
216647,0.027080875,7,250,1
216897,0.027112125,0,250,1
217147,0.027143375,1,250,1
217397,0.027174625,2,250,1
217647,0.027205875,3,250,1
217897,0.027237125,4,250,1
218147,0.027268375,5,250,1
218397,0.027299625,6,250,1
218647,0.027330875,7,248,1
218895,0.027361875,0,250,1
